drug1_id,drug2_id,drug1_name,drug2_name,cell_line,bliss,gamma,source
BCFGMOOMADDAQU-UHFFFAOYSA-N,KTEIFNKAUNYNJU-UHFFFAOYSA-N,Lapatinib,Crizotinib,CAPAN-1,1.4726323,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,BKWJAKQVGHWELA-UHFFFAOYSA-N,Lapatinib,MK-1775,CAPAN-1,-0.39850345,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,Lapatinib,Taselisib,CAPAN-1,0.12934011,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,RCINICONZNJXQF-UHFFFAOYSA-N,Lapatinib,Paclitaxel,CAPAN-1,2.4353473,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,MLDQJTXFUGDVEO-UHFFFAOYSA-N,Lapatinib,Sorafenib,CAPAN-1,1.3551327,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,GHASVSINZRGABV-UHFFFAOYSA-N,Lapatinib,5-Fluorouracil,CAPAN-1,-0.26815677,,GDSC
AHJRHEGDXFFMBM-UHFFFAOYSA-N,BCFGMOOMADDAQU-UHFFFAOYSA-N,Palbociclib,Lapatinib,CAPAN-1,-0.3418229,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,BKWJAKQVGHWELA-UHFFFAOYSA-N,Lapatinib,MK-1775,CAPAN-1,0.036661766,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,HDAJDNHIBCDLQF-UHFFFAOYSA-N,Lapatinib,SCH772984,CAPAN-1,3.528324,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,Lapatinib,Dactolisib,CAPAN-1,-0.09399109,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,XXYGTCZJJLTAGH-UHFFFAOYSA-N,Lapatinib,LGK974,CAPAN-1,0.90516186,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Lapatinib,Ruxolitinib,CAPAN-1,-2.4439452,,GDSC
AAKJLRGGTJKAMG-UHFFFAOYSA-N,BCFGMOOMADDAQU-UHFFFAOYSA-N,Erlotinib,Lapatinib,CAPAN-1,-2.1860073,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,KTEIFNKAUNYNJU-UHFFFAOYSA-N,Lapatinib,Crizotinib,CAPAN-1,2.5817127,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,Lapatinib,Dactolisib,CAPAN-1,-1.4270744,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,XXYGTCZJJLTAGH-UHFFFAOYSA-N,Lapatinib,LGK974,CAPAN-1,1.3459679,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,SDUQYLNIPVEERB-UHFFFAOYSA-N,Lapatinib,Gemcitabine,CAPAN-1,-1.869955,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,MLDQJTXFUGDVEO-UHFFFAOYSA-N,Lapatinib,Sorafenib,CAPAN-1,0.9090793,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,Lapatinib,Trametinib,CAPAN-1,2.5088847,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,JLYAXFNOILIKPP-UHFFFAOYSA-N,Lapatinib,Navitoclax,CAPAN-1,4.747706,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,SDUQYLNIPVEERB-UHFFFAOYSA-N,Lapatinib,Gemcitabine,CAPAN-1,0.28107324,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,RCINICONZNJXQF-UHFFFAOYSA-N,Lapatinib,Paclitaxel,CAPAN-1,0.5814965,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,UWKQSNNFCGGAFS-UHFFFAOYSA-N,Lapatinib,Irinotecan,CAPAN-1,4.5359335,,GDSC
AHJRHEGDXFFMBM-UHFFFAOYSA-N,BCFGMOOMADDAQU-UHFFFAOYSA-N,Palbociclib,Lapatinib,CAPAN-1,-1.2175667,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,BEUQXVWXFDOSAQ-UHFFFAOYSA-N,Lapatinib,Taselisib,CAPAN-1,0.6427665,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,JLYAXFNOILIKPP-UHFFFAOYSA-N,Lapatinib,Navitoclax,CAPAN-1,1.0932301,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,DRMCATBEKSVAPL-UHFFFAOYSA-N,Lapatinib,Oxaliplatin,CAPAN-1,0.7998235,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,HFNKQEVNSGCOJV-UHFFFAOYSA-N,Lapatinib,Ruxolitinib,CAPAN-1,-1.4139526,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Lapatinib,Cisplatin,CAPAN-1,0.8898465,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,IAYGCINLNONXHY-UHFFFAOYSA-N,Lapatinib,AZD7762,CAPAN-1,0.28961328,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,FDLYAMZZIXQODN-UHFFFAOYSA-N,Lapatinib,Olaparib,CAPAN-1,2.517903,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Lapatinib,Linsitinib,CAPAN-1,-1.1401144,,GDSC
AAKJLRGGTJKAMG-UHFFFAOYSA-N,BCFGMOOMADDAQU-UHFFFAOYSA-N,Erlotinib,Lapatinib,CAPAN-1,-2.4617631,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,FDLYAMZZIXQODN-UHFFFAOYSA-N,Lapatinib,Olaparib,CAPAN-1,-0.49786237,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,JROFGZPOBKIAEW-UHFFFAOYSA-N,Lapatinib,OSI-027,CAPAN-1,0.49105564,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,ULDXWLCXEDXJGE-UHFFFAOYSA-N,Lapatinib,MK-2206,CAPAN-1,2.248648,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,HDAJDNHIBCDLQF-UHFFFAOYSA-N,Lapatinib,SCH772984,CAPAN-1,3.4662821,,GDSC
BCFGMOOMADDAQU-UHFFFAOYSA-N,IVRXNBXKWIJUQB-UHFFFAOYSA-N,Lapatinib,Galunisertib,CAPAN-1,1.8666136,,GDSC
